"Channel Title","Channel URL","Channel ID",Position,"Video Title","Video URL","Video ID","Publish Date",Duration,Views,Description,"Thumbnail URL","Availability Status"
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,1,"Caribbean Mardi Gras Spectacle in Basse-Terre Guadeloupe 🌴🔥",https://www.youtube.com/watch?v=E-H3-dUVpg4,E-H3-dUVpg4,2026-06-07T19:23:33Z,00:32,"2,035","A breathtaking parade filled with dazzling feather costumes, vibrant colors, infectious rhythms, and Caribbean carnival energy. Experience the unforgettable sights of Mardi Gras as performers bring the streets of Basse-Terre to life with spectacular outfits and celebrations.
✨ Which costume is your favorite?


#MardiGras #Guadeloupe #BasseTerre #CaribbeanCarnival #Carnival2026 #FeatherCostumes #Parade #ColorfulFestival #TravelShorts #Culture #FestivalVibes #IslandLife #CaribbeanLife #StreetParade #TravelReels #YouTubeShorts #ViralShorts #ExploreGuadeloupe #FrenchCaribbean #CarnivalSeason",https://i.ytimg.com/vi/E-H3-dUVpg4/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,2,"Guadeloupe Carnival | RIP Vaval 🔥🪦 Street Party",https://www.youtube.com/watch?v=5vEo75uJ-nc,5vEo75uJ-nc,2026-06-06T21:25:14Z,01:39,576,"The ultimate finale to Guadeloupe Carnival.  Back and white outfits hypnotic drums. The amazing Groupe Kontak 🔥

#carnaval​ #guadeloupe​ #westindies​ #caribbean​ #kontak​ #streetparade​ #shorts​",https://i.ytimg.com/vi/5vEo75uJ-nc/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,3,"Guadeloupe Ash Wednesday Street Party & The Burning of King Vaval",https://www.youtube.com/watch?v=anC7ldKRdQg,anC7ldKRdQg,2026-06-06T20:31:37Z,06:52,38,"Experiencing Mercredi des Cendres (Ash Wednesday) in Guadeloupe is something you will never forget. Marking the official end of the Guadeloupe Carnival season, thousands of revelers take over the streets of Pointe-à-Pitre and Basse-Terre wearing traditional black and white attire.

In this video, we jump right into the heart of the final ""vidé"" street party, surrounded by the hypnotic rhythms of traditional drums, before witnessing the main event: the ritual burning of Sa Majesté Vaval (the Carnival King). Vaval is built every year to represent a major news event or social theme, and his cremation acts as a cathartic rebirth for the island before Lent begins.

📍 Location: Guadeloupe, French West Indies 🎭 Event: Mercredi des Cendres / Bwilé Vaval

0:00 - 2:00 Le groupe Kontak
2:01 - 6:52 Vaval et DJ",https://i.ytimg.com/vi/anC7ldKRdQg/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,4,"Mardi Gras in Guadeloupe  🇬🇵 Basse-Terre Night Parade",https://www.youtube.com/watch?v=GzZtr7EDkUc,GzZtr7EDkUc,2026-05-22T17:50:19Z,11:14,47,"Experience the pure, unadulterated energy of the Mardi Gras evening parade in Basse-Terre, Guadeloupe!

When the sun goes down, the capital of Guadeloupe turns into a massive, pulsating street party. The energy during the night parade is unmatched—from the thunderous percussion of the ""Mas a Po"" groups to the glowing costumes, heavy bass, and insane crowd choreography.

If you think you've seen Mardi Gras, you haven't seen it Caribbean style. Hit play to dive straight into the middle of the street madness!


#Guadeloupe #MardiGras #Carnival2026 #BasseTerre #TravelGuadeloupe #CaribbeanCulture #CarnavalGuadeloupe",https://i.ytimg.com/vi/GzZtr7EDkUc/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,5,"Guadeloupe Îlet du Gosier Caribbean Paradise Palms, Sunshine & Turquoise Waters 🌴🌊",https://www.youtube.com/watch?v=Oc32jxAKkPY,Oc32jxAKkPY,2026-05-22T12:37:03Z,00:11,370,"Golden sunshine, palms, and crystal-clear blue waters at beautiful Îlet du Gosier in Guadeloupe 🌴☀️🌊 A perfect Caribbean escape captured in one dreamy short sneak peek.

#IletDuGosier #Guadeloupe #Caribbean #TropicalParadise #BlueWater #IslandLife #TravelShorts #BeachVibes #SunnyDay #ParadiseFound #TurquoiseWater #PalmTrees #VacationMode #TravelReels #Shorts",https://i.ytimg.com/vi/Oc32jxAKkPY/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,6,"Air Caraïbes Flight 🌴 Saint Martin to Guadeloupe ✈️ Stunning Caribbean View",https://www.youtube.com/watch?v=m8QsWEUAQH4,m8QsWEUAQH4,2026-05-16T10:58:25Z,11:21,113,"Join me on this beautiful Air Caraïbes flight from Saint Martin Grand Case Airport (SFG) to Guadeloupe Pointe-à-Pitre Airport (PTP) in the heart of the Caribbean.
This island-hopping journey features breathtaking turquoise waters, colorful coastlines, tropical islands, and amazing weather throughout the flight. Enjoy relaxing aerial views from takeoff to landing as Air Caraïbes connects two stunning French Caribbean destinations.
If you enjoy aviation videos, scenic flights, tropical travel, and Caribbean adventures, this video is for you.
✈️ Airline: Air Caraïbes
🛫 Route: Saint Martin Grand Case (SFG) → Pointe-à-Pitre Guadeloupe (PTP)
🌴 Caribbean island hopping experience
☀️ Clear skies and beautiful tropical scenery
🎥 Aviation + Travel + Scenic Views
Don’t forget to like, subscribe, and turn on notifications for more aviation and travel videos.

Air Caraïbes, Air Caraibes flight, Saint Martin to Guadeloupe, Grand Case Airport, Pointe a Pitre Airport, Caribbean flight, Air Caraïbes ATR, Caribbean aviation, island hopping Caribbean, SFG airport, PTP airport, French Caribbean travel, tropical flight views, scenic Caribbean flight, airplane window views, Guadeloupe travel, Saint Martin travel, aviation video, Caribbean islands aerial view, beautiful weather flight, ATR72 Caribbean, Caribbean travel vlog, airline trip report, Air Caraïbes experience

#AirCaraibes #SaintMartin #Guadeloupe #Caribbean #Aviation #FlightVideo #IslandHopping #GrandCase #PointeAPitre #Travel",https://i.ytimg.com/vi/m8QsWEUAQH4/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,7,"Guadeloupe Mardi Gras Parade Energy After the Rain 🇬🇵 | Caribbean Night Walk",https://www.youtube.com/watch?v=u6ayxkv1MpI,u6ayxkv1MpI,2026-05-15T17:45:47Z,00:22,"1,183","Step into the nighttime energy of Basse-Terre, Guadeloupe during Mardi Gras celebrations. The rain has just passed, leaving glowing streets, tropical reflections, live percussion, and vibrant parade groups moving through the city. 🌧️🎶
This evening walking tour captures the atmosphere of Caribbean carnival culture — music echoing through the streets, colorful costumes, dancing crowds, and the unique vibe of Mardi Gras in Guadeloupe at night.
📍 Basse-Terre, Guadeloupe
🎭 Caribbean Mardi Gras Celebration
🌙 Evening Street Walk After Rain

#GuadeloupeIsland #BasseTerreGuadeloupe #MardiGrasVibes #CaribbeanCarnival #NightStreetWalk #RainyEvening #TravelMoments #CarnivalParade #StreetMusic #IslandNightlife #WalkWithMe #FrenchCaribbeanIslands #TropicalNight #ParadeGroups #TravelContent #UrbanWalking #CarnivalCulture #NightPhotography #CaribbeanTravel #YouTubeShorts",https://i.ytimg.com/vi/u6ayxkv1MpI/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,8,"Guadeloupe Caribbean Mardi Gras After Rain 🌧️ | Basse-Terre Street Atmosphere",https://www.youtube.com/watch?v=bBp_7Em8czY,bBp_7Em8czY,2026-05-13T20:04:31Z,00:19,"1,638","Take a relaxing evening walk through the lively streets of Basse-Terre, Guadeloupe during Mardi Gras celebrations. After the tropical rain, the city glows with music, reflections, drums, costumes, and energetic parade groups filling the streets with Caribbean carnival spirit. 🌧️🎭
This immersive night walk captures the real atmosphere of Guadeloupe’s Mardi Gras — from street musicians and dancing crowds to rainy night ambience and colorful island culture.
📍 Basse-Terre, Guadeloupe
🎉 Mardi Gras Carnival Night
🌙 Rainy Evening Street Walk

#BasseTerre #Guadeloupe #MardiGras2026 #CarnivalNight #CaribbeanLife #StreetWalking #NightAmbience #RainyStreets #TravelShorts #IslandCulture #EveningVibes #ParadeMusic #FrenchWestIndies #WalkingVideo #TravelReels #StreetScenes #CarnivalSeason #TropicalRain #NightTour #ExploreGuadeloupe",https://i.ytimg.com/vi/bBp_7Em8czY/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,9,"Basse-Terre Guadeloupe Mardi Gras Magic After the Rain 🌧️🎭 | Evening Walk",https://www.youtube.com/watch?v=6KZJrzR9KLs,6KZJrzR9KLs,2026-05-13T10:51:16Z,01:04,340,"Experience the vibrant streets of Basse-Terre, Guadeloupe during Mardi Gras after a fresh tropical rain. 🌧️🎭
Join this evening walking tour through colorful parade groups, live drums, dancing crowds, and the electric Caribbean carnival atmosphere lighting up the city streets at night.
If you enjoy authentic street walks, carnival culture, rainy night ambience, and Caribbean travel vibes, this walk is for you.
📍 Basse-Terre, Guadeloupe
🎉 Mardi Gras Night Parade
🌙 Evening Rain Walk Experience

#Guadeloupe #BasseTerre #MardiGras #Caribbean #WalkingTour #StreetWalk #RainyNight #Carnival #Travel #EveningWalk #Parade #FrenchCaribbean #NightWalk #TravelVlog #StreetParade #IslandVibes #RainAmbience #GuadeloupeTravel #CaribbeanCulture #Shorts",https://i.ytimg.com/vi/6KZJrzR9KLs/hqdefault.jpg,available
"Magic Soul Travel",https://www.youtube.com/@magicsoultravel,UC4zkEzqEk1yyAgoxctP3z8g,10,"Sint Maarten Planes spotting at Maho Beach ✈️ Sunny Day with Cruise Ship Crowds Watching",https://www.youtube.com/watch?v=I8ZKM8bWff8,I8ZKM8bWff8,2026-05-10T18:09:07Z,11:56,21,"Experience the world-famous plane landings at Maho Beach in St. Maarten on a beautiful sunny Caribbean day! ✈️🌴 Cruise ship passengers and beachgoers gather to watch giant airplanes fly incredibly low over the beach before landing at Princess Juliana Airport.
Join this relaxing beach walk filled with amazing aviation views, tropical vibes, ocean sounds, and thrilling low landings from some of the world’s biggest jets. If you love travel, plane spotting, cruise adventures, and Caribbean beaches, this video is for you!
📍 Location: Maho Beach, St. Maarten
☀️ Sunny tropical beach atmosphere
✈️ Extreme low airplane landings
🚢 Cruise ship visitors enjoying the beach
🌊 Relaxing Caribbean walking tour
Don’t forget to LIKE 👍, COMMENT 💬, and SUBSCRIBE 🔔 for more travel walks, beach adventures, and aviation experiences from around the world!
#MahoBeach #PlaneLanding #StMaarten #BeachWalk #PlaneSpotting #Caribbean #CruiseShip #PrincessJulianaAirport #TravelVlog #AviationLovers",https://i.ytimg.com/vi/I8ZKM8bWff8/hqdefault.jpg,available
